code,file_size,pricesens,link,time,notices,pages
MTH,1.2MB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942899,22/01/2018 1:22 PM,Quarterly Activity Report December 2017,8
APL,684.5KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942898,22/01/2018 1:08 PM,Appendix 3B,12
DAQ,1.7MB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942897,22/01/2018 1:02 PM,DA2T Investor Report - January 2018,53
INM,105.5KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942896,22/01/2018 1:02 PM,Form 4 Stmt of Changes in Beneficial Ownership of Securities,3
INM,107.3KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942895,22/01/2018 1:01 PM,Form 4 Stmt of Changes in Beneficial Ownership of Securities,3
BLZ,415.5KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942894,22/01/2018 12:53 PM,Notice of Initial Substantial Holder,2
DAZ,1.5MB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942893,22/01/2018 12:45 PM,DA4T Investor Report - Jan 2017,52
TPP,395.9KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942892,22/01/2018 12:42 PM,Tempo secures new contracts,2
XST,95.0KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942891,22/01/2018 12:35 PM,Legal Update on Singapore High Court Action,2
FSF,185.7KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942890,22/01/2018 12:34 PM,Fonterra responds to Beingmate forecast earnings downgrade,2
HAR,25.9KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942889,22/01/2018 12:34 PM,Cancel - Consolidation/Split - HAR,3
